Image_ID,Tree_Index,Class,X_Global,Y_Global,Z_Tiefe_lokal
3665,18,trunk,5956414.7847,644838.0059,1.37
3665,23,trunk,5956414.8884,644838.1099,1.32
3675,6,trunk,5956413.8700,644840.0833,1.38
3675,13,trunk,5956414.0107,644840.0908,1.11
3675,21,trunk,5956413.8974,644839.9036,1.25
3685,15,trunk,5956413.3149,644841.7296,1.96
3685,16,trunk,5956413.3361,644841.9989,1.53
3685,7,trunk,5956413.4906,644841.9588,1.35
3685,18,trunk,5956413.3550,644841.7211,1.52
3695,17,trunk,5956413.0050,644844.1664,1.09
3695,3,trunk,5956413.1297,644843.7477,1.49
3695,13,trunk,5956413.0603,644843.9120,1.25
3705,6,trunk,5956412.2582,644846.2220,1.45
3705,4,trunk,5956412.0985,644845.9767,1.65
3705,3,trunk,5956412.3887,644846.1351,1.29
3715,5,trunk,5956411.1508,644848.1755,1.73
3715,7,trunk,5956411.7546,644848.5436,1.22
3715,4,trunk,5956411.6851,644848.4215,1.35
3715,9,trunk,5956411.7865,644848.2108,1.40
3725,6,trunk,5956410.7344,644850.3798,1.65
3725,11,trunk,5956411.1663,644850.4892,1.34
3725,15,trunk,5956410.9992,644850.2527,1.60
3725,10,trunk,5956411.1094,644849.7665,2.05
3735,1,trunk,5956410.7151,644852.6251,1.28
3735,22,trunk,5956410.5320,644852.3497,1.56
3735,20,trunk,5956410.7239,644852.0318,1.79
3735,17,trunk,5956410.7188,644852.1416,1.62
3745,31,trunk,5956410.2338,644854.1290,2.01
3745,22,trunk,5956410.4199,644854.5492,1.21
3745,9,trunk,5956410.0731,644853.9415,1.71
3745,24,trunk,5956410.5355,644853.4062,2.29
3745,10,trunk,5956410.5263,644853.4347,2.25
3745,25,trunk,5956410.3734,644853.8823,1.66
3755,5,trunk,5956409.3598,644856.8515,1.13
3755,31,trunk,5956409.1560,644856.5037,1.50
3755,0,trunk,5956409.4346,644856.3916,1.56
3755,2,trunk,5956409.2809,644856.3271,1.51
3755,12,trunk,5956409.5518,644856.4203,1.28
3765,5,trunk,5956408.6486,644858.5427,1.59
3765,20,trunk,5956408.9547,644858.6138,1.39
3765,16,trunk,5956408.7209,644858.5085,1.30
3765,18,trunk,5956409.1098,644857.8955,2.02
3765,23,trunk,5956408.9138,644858.1076,1.63
3775,10,trunk,5956408.3551,644860.4523,1.85
3775,21,trunk,5956408.1075,644860.3722,1.72
3775,27,trunk,5956408.5031,644860.2552,1.82
3775,9,trunk,5956408.5025,644860.2165,1.87
3775,15,trunk,5956408.3370,644860.3781,1.54
3785,1,trunk,5956407.9198,644862.5332,1.70
3785,10,trunk,5956407.5976,644862.3011,1.58
3785,5,trunk,5956408.0931,644862.1523,1.93
3785,17,trunk,5956407.9101,644862.2194,1.66
3795,12,trunk,5956407.2083,644864.6201,1.59
3795,8,trunk,5956407.4992,644864.6931,1.43
3795,20,trunk,5956407.5007,644864.6730,1.46
3795,23,trunk,5956407.6081,644864.3392,1.73
3795,18,trunk,5956407.5635,644864.4961,1.50
3795,24,trunk,5956407.4645,644864.2027,1.73
3805,4,trunk,5956406.6838,644866.7747,2.01
3805,8,trunk,5956406.8746,644866.7285,1.73
3805,2,trunk,5956407.0198,644866.8890,1.26
3815,16,trunk,5956406.2456,644869.3004,1.29
3815,20,trunk,5956406.2449,644869.3000,1.29
3815,19,trunk,5956406.2539,644869.0771,1.31
3815,6,trunk,5956406.4601,644868.9186,1.30
3825,18,trunk,5956405.4070,644871.0941,1.61
3825,23,trunk,5956405.5805,644871.1784,1.59
3825,4,trunk,5956405.7798,644871.3038,1.28
3825,20,trunk,5956405.5557,644870.9859,1.57
3825,0,trunk,5956405.8327,644870.6385,1.92
3835,17,trunk,5956404.8808,644873.5582,1.09
3835,20,trunk,5956404.8390,644873.4858,1.16
3835,0,trunk,5956404.9731,644873.4366,1.08
3835,11,trunk,5956404.7685,644872.9173,1.54
3845,23,trunk,5956404.3539,644875.4687,1.22
3845,17,trunk,5956404.3539,644875.4687,1.22
3845,2,trunk,5956404.4608,644875.2715,1.29
3855,3,trunk,5956403.6097,644877.3606,1.87
3855,27,trunk,5956403.5965,644877.4716,1.52
3855,7,trunk,5956403.7923,644877.3984,1.45
3855,15,trunk,5956403.9529,644877.3367,1.33
3855,22,trunk,5956403.6712,644876.9741,1.54
3865,10,trunk,5956402.9320,644879.5863,1.63
3865,6,trunk,5956403.1662,644879.3346,1.85
3865,32,trunk,5956403.1137,644879.4281,1.59
3865,20,trunk,5956403.3577,644879.4580,1.41
3865,15,trunk,5956402.9935,644878.9596,1.75
3875,3,trunk,5956402.5875,644881.4128,1.94
3875,5,trunk,5956402.7185,644881.0897,2.03
3875,15,trunk,5956402.4139,644881.0600,1.81
3885,2,trunk,5956402.2306,644883.9935,1.22
3885,14,trunk,5956401.9876,644883.5588,1.70
3885,17,trunk,5956402.2629,644883.5811,1.52
3885,18,trunk,5956402.0484,644883.3059,1.71
3885,21,trunk,5956402.1644,644883.1317,1.78
3885,25,trunk,5956402.3212,644883.1683,1.81
3895,19,trunk,5956401.6058,644885.7440,1.78
3895,2,trunk,5956401.6796,644885.5214,1.88
3895,18,trunk,5956401.4481,644885.3698,1.85
3895,28,trunk,5956401.8253,644885.3658,1.81
3905,5,trunk,5956401.0039,644887.9642,1.82
3905,8,trunk,5956401.2428,644888.1281,1.28
3905,2,trunk,5956401.2708,644887.4698,1.87
3905,7,trunk,5956401.1309,644887.5431,1.66
